,phi,model,total_trials,xy_count,yx_count,independent_count
0,0.0,DPE,2000,50,52,1898
1,0.1,DPE,2000,11,249,1740
2,0.2,DPE,2000,0,1250,750
3,0.3,DPE,2000,0,1752,248
4,0.4,DPE,2000,0,1887,113
5,0.5,DPE,2000,0,1933,67
6,0.6,DPE,2000,0,1966,34
7,0.7,DPE,2000,0,1979,21
8,0.8,DPE,2000,0,1985,15
9,0.9,DPE,2000,0,1989,11
10,0.0,GC,2000,83,92,1825
11,0.1,GC,2000,0,1901,99
12,0.2,GC,2000,0,1906,94
13,0.3,GC,2000,0,1909,91
14,0.4,GC,2000,0,1903,97
15,0.5,GC,2000,0,1903,97
16,0.6,GC,2000,0,1882,118
17,0.7,GC,2000,0,1905,95
18,0.8,GC,2000,0,1889,111
19,0.9,GC,2000,0,1901,99
20,0.0,TE,2000,79,78,1843
21,0.1,TE,2000,1,1927,72
22,0.2,TE,2000,0,2000,0
23,0.3,TE,2000,0,2000,0
24,0.4,TE,2000,0,2000,0
25,0.5,TE,2000,0,2000,0
26,0.6,TE,2000,0,2000,0
27,0.7,TE,2000,0,2000,0
28,0.8,TE,2000,0,2000,0
29,0.9,TE,2000,0,2000,0
30,0.0,LZP,2000,404,359,1237
31,0.1,LZP,2000,183,686,1131
32,0.2,LZP,2000,10,1458,532
33,0.3,LZP,2000,0,1809,191
34,0.4,LZP,2000,0,1909,91
35,0.5,LZP,2000,0,1958,42
36,0.6,LZP,2000,0,1971,29
37,0.7,LZP,2000,0,1983,17
38,0.8,LZP,2000,0,1986,14
39,0.9,LZP,2000,0,1989,11
