,eta,model,accuracy
0,0.0,DPE,0.0
1,0.1,DPE,0.0365
2,0.2,DPE,0.731
3,0.3,DPE,0.9995
4,0.4,DPE,0.9985
5,0.5,DPE,1.0
6,0.6,DPE,1.0
7,0.7,DPE,1.0
8,0.8,DPE,1.0
9,0.9,DPE,0.9995
10,0.0,GC,0.899
11,0.1,GC,0.9325
12,0.2,GC,0.547
13,0.3,GC,0.0205
14,0.4,GC,0.001
15,0.5,GC,0.0
16,0.6,GC,0.0
17,0.7,GC,0.0
18,0.8,GC,0.0
19,0.9,GC,0.0
20,0.0,TE,0.931
21,0.1,TE,0.9955
22,0.2,TE,1.0
23,0.3,TE,1.0
24,0.4,TE,0.675
25,0.5,TE,0.0
26,0.6,TE,0.0
27,0.7,TE,0.0
28,0.8,TE,0.567
29,0.9,TE,1.0
30,0.0,LZP,0.0
31,0.1,LZP,0.051
32,0.2,LZP,0.0005
33,0.3,LZP,0.006
34,0.4,LZP,0.0005
35,0.5,LZP,0.0015
36,0.6,LZP,0.014
37,0.7,LZP,0.0055
38,0.8,LZP,0.0
39,0.9,LZP,0.023
