,delay,model,total_trials,xy_count,yx_count,independent_count
0,0,DPE,1000,1000,0,0
1,1,DPE,1000,1000,0,0
2,2,DPE,1000,1000,0,0
3,3,DPE,1000,1000,0,0
4,4,DPE,1000,998,0,2
5,5,DPE,1000,996,0,4
6,6,DPE,1000,992,0,8
7,0,GC,1000,37,0,963
8,1,GC,1000,401,0,599
9,2,GC,1000,3,706,291
10,3,GC,1000,132,50,818
11,4,GC,1000,849,1,150
12,5,GC,1000,93,173,734
13,6,GC,1000,101,68,831
14,0,TE,1000,1000,0,0
15,1,TE,1000,1000,0,0
16,2,TE,1000,0,788,212
17,3,TE,1000,2,536,462
18,4,TE,1000,745,9,246
19,5,TE,1000,14,224,762
20,6,TE,1000,17,89,894
21,0,LZP,1000,196,0,804
22,1,LZP,1000,245,0,755
23,2,LZP,1000,267,0,733
24,3,LZP,1000,298,0,702
25,4,LZP,1000,325,0,675
26,5,LZP,1000,320,0,680
27,6,LZP,1000,366,0,634
