,delay,model,accuracy
0,0,DPE,1.0
1,1,DPE,1.0
2,2,DPE,1.0
3,3,DPE,0.999
4,4,DPE,0.883
5,5,DPE,0.553
6,6,DPE,0.303
7,0,DPE_raw,1.0
8,1,DPE_raw,1.0
9,2,DPE_raw,1.0
10,3,DPE_raw,1.0
11,4,DPE_raw,1.0
12,5,DPE_raw,1.0
13,6,DPE_raw,1.0
14,0,GC,0.105
15,1,GC,0.16
16,2,GC,0.58
17,3,GC,0.283
18,4,GC,0.387
19,5,GC,0.264
20,6,GC,0.2
21,0,GC_raw,1.0
22,1,GC_raw,0.82
23,2,GC_raw,0.894
24,3,GC_raw,0.747
25,4,GC_raw,0.811
26,5,GC_raw,0.718
27,6,GC_raw,0.672
28,0,TE,1.0
29,1,TE,0.169
30,2,TE,0.12
31,3,TE,0.625
32,4,TE,0.39
33,5,TE,0.146
34,6,TE,0.106
35,0,TE_raw,1.0
36,1,TE_raw,0.313
37,2,TE_raw,0.353
38,3,TE_raw,0.905
39,4,TE_raw,0.823
40,5,TE_raw,0.644
41,6,TE_raw,0.603
42,0,LZP,0.265
43,1,LZP,0.038
44,2,LZP,0.007
45,3,LZP,0.005
46,4,LZP,0.001
47,5,LZP,0.0
48,6,LZP,0.0
49,0,LZP_raw,1.0
50,1,LZP_raw,1.0
51,2,LZP_raw,1.0
52,3,LZP_raw,1.0
53,4,LZP_raw,1.0
54,5,LZP_raw,1.0
55,6,LZP_raw,1.0
56,0,CCM_raw,0.06
57,1,CCM_raw,0.227
58,2,CCM_raw,0.375
59,3,CCM_raw,0.727
60,4,CCM_raw,0.783
61,5,CCM_raw,0.816
62,6,CCM_raw,0.811
63,0,CCM_surrogate,0.006
64,1,CCM_surrogate,0.006
65,2,CCM_surrogate,0.015
66,3,CCM_surrogate,0.021
67,4,CCM_surrogate,0.035
68,5,CCM_surrogate,0.028
69,6,CCM_surrogate,0.033
70,0,ETCP,0.15
71,1,ETCP,0.126
72,2,ETCP,0.164
73,3,ETCP,0.071
74,4,ETCP,0.064
75,5,ETCP,0.082
76,6,ETCP,0.071
77,0,ETCP_raw,0.809
78,1,ETCP_raw,0.78
79,2,ETCP_raw,0.828
80,3,ETCP_raw,0.672
81,4,ETCP_raw,0.627
82,5,ETCP_raw,0.641
83,6,ETCP_raw,0.638
84,0,ETCE,0.0
85,1,ETCE,0.0
86,2,ETCE,0.0
87,3,ETCE,0.0
88,4,ETCE,0.0
89,5,ETCE,0.0
90,6,ETCE,0.0
91,0,ETCE_raw,1.0
92,1,ETCE_raw,1.0
93,2,ETCE_raw,0.999
94,3,ETCE_raw,0.986
95,4,ETCE_raw,0.967
96,5,ETCE_raw,0.945
97,6,ETCE_raw,0.937
