,phi,model,accuracy
0,0.0,DPE,0.949
1,0.1,DPE,0.1245
2,0.2,DPE,0.625
3,0.3,DPE,0.876
4,0.4,DPE,0.9435
5,0.5,DPE,0.9665
6,0.6,DPE,0.983
7,0.7,DPE,0.9895
8,0.8,DPE,0.9925
9,0.9,DPE,0.9945
10,0.0,GC,0.9125
11,0.1,GC,0.9505
12,0.2,GC,0.953
13,0.3,GC,0.9545
14,0.4,GC,0.9515
15,0.5,GC,0.9515
16,0.6,GC,0.941
17,0.7,GC,0.9525
18,0.8,GC,0.9445
19,0.9,GC,0.9505
20,0.0,TE,0.9215
21,0.1,TE,0.9635
22,0.2,TE,1.0
23,0.3,TE,1.0
24,0.4,TE,1.0
25,0.5,TE,1.0
26,0.6,TE,1.0
27,0.7,TE,1.0
28,0.8,TE,1.0
29,0.9,TE,1.0
30,0.0,LZP,0.6185
31,0.1,LZP,0.343
32,0.2,LZP,0.729
33,0.3,LZP,0.9045
34,0.4,LZP,0.9545
35,0.5,LZP,0.979
36,0.6,LZP,0.9855
37,0.7,LZP,0.9915
38,0.8,LZP,0.993
39,0.9,LZP,0.9945
