,delay,trial,model,direction,gap
0,0,0,DPE,X -> Y,0.14703341053798796
1,0,0,GC,Independence,5.2053252146711664e-05
2,0,0,TE,X -> Y,0.27172276436427
3,0,0,LZP,Independence,29.0
4,0,1,DPE,X -> Y,0.14218111341962447
5,0,1,GC,Independence,0.0006862241957541009
6,0,1,TE,X -> Y,0.2890681050941692
7,0,1,LZP,Independence,24.0
8,0,2,DPE,X -> Y,0.1313663368464272
9,0,2,GC,Independence,0.0038687227866856634
10,0,2,TE,X -> Y,0.2876385713666062
11,0,2,LZP,X -> Y,32.0
12,0,3,DPE,X -> Y,0.1172446719173229
13,0,3,GC,Independence,0.00497213504522215
14,0,3,TE,X -> Y,0.29652453248407035
15,0,3,LZP,Independence,26.0
16,0,4,DPE,X -> Y,0.10799509721861086
17,0,4,GC,Independence,1.8596484302543183e-06
18,0,4,TE,X -> Y,0.30268198692689396
19,0,4,LZP,Independence,23.0
20,0,5,DPE,X -> Y,0.13337444473290816
21,0,5,GC,Independence,0.000738472760666569
22,0,5,TE,X -> Y,0.31382262482428197
23,0,5,LZP,Independence,25.0
24,0,6,DPE,X -> Y,0.14056576120534114
25,0,6,GC,Independence,0.008657376879941534
26,0,6,TE,X -> Y,0.28888951770860843
27,0,6,LZP,Independence,28.0
28,0,7,DPE,X -> Y,0.10582190035740663
29,0,7,GC,Independence,0.0007121530352193516
30,0,7,TE,X -> Y,0.2945937871330771
31,0,7,LZP,Independence,29.0
32,0,8,DPE,X -> Y,0.12119996980199535
33,0,8,GC,Independence,2.875841303803167e-05
34,0,8,TE,X -> Y,0.2968584698913942
35,0,8,LZP,X -> Y,32.0
36,0,9,DPE,X -> Y,0.10934331805991201
37,0,9,GC,Independence,7.952624714848433e-05
38,0,9,TE,X -> Y,0.30432443892196737
39,0,9,LZP,X -> Y,28.0
40,0,10,DPE,X -> Y,0.10649844697076577
41,0,10,GC,Independence,3.7822340355544846e-05
42,0,10,TE,X -> Y,0.3124113112493662
43,0,10,LZP,Independence,22.0
44,0,11,DPE,X -> Y,0.10169219279375215
45,0,11,GC,Independence,3.8800426605287664e-05
46,0,11,TE,X -> Y,0.3288567373479423
47,0,11,LZP,Independence,14.0
48,0,12,DPE,X -> Y,0.10655190583710217
49,0,12,GC,Independence,6.29756940528742e-09
50,0,12,TE,X -> Y,0.31248284354477984
51,0,12,LZP,X -> Y,27.0
52,0,13,DPE,X -> Y,0.09852718553664754
53,0,13,GC,Independence,1.6521837437217112e-05
54,0,13,TE,X -> Y,0.29815644306908984
55,0,13,LZP,Independence,27.0
56,0,14,DPE,X -> Y,0.13210166401082749
57,0,14,GC,Independence,0.0010593195695561232
58,0,14,TE,X -> Y,0.3316233544790066
59,0,14,LZP,Independence,19.0
60,0,15,DPE,X -> Y,0.10210309100777404
61,0,15,GC,Independence,0.0017120092835631437
62,0,15,TE,X -> Y,0.27320407326828927
63,0,15,LZP,Independence,32.0
64,0,16,DPE,X -> Y,0.10081415638063272
65,0,16,GC,Independence,5.846162736425114e-10
66,0,16,TE,X -> Y,0.3293020752494848
67,0,16,LZP,X -> Y,24.0
68,0,17,DPE,X -> Y,0.12217579990775174
69,0,17,GC,Independence,0.001143023387425965
70,0,17,TE,X -> Y,0.28112420574943314
71,0,17,LZP,Independence,30.0
72,0,18,DPE,X -> Y,0.126279210530673
73,0,18,GC,Independence,0.012665088096115416
74,0,18,TE,X -> Y,0.2771148056199415
75,0,18,LZP,Independence,28.0
76,0,19,DPE,X -> Y,0.09390299828235237
77,0,19,GC,Independence,0.00020606350819039353
78,0,19,TE,X -> Y,0.3261490785084361
79,0,19,LZP,Independence,21.0
80,0,20,DPE,X -> Y,0.12223464001280566
81,0,20,GC,Independence,6.49352515765988e-05
82,0,20,TE,X -> Y,0.2890996861056988
83,0,20,LZP,Independence,26.0
84,0,21,DPE,X -> Y,0.15362204191046572
85,0,21,GC,Independence,0.009656775309284679
86,0,21,TE,X -> Y,0.2885449229622374
87,0,21,LZP,Independence,21.0
88,0,22,DPE,X -> Y,0.13608609976246955
89,0,22,GC,Independence,4.923865132209166e-05
90,0,22,TE,X -> Y,0.3038087784409543
91,0,22,LZP,Independence,18.0
92,0,23,DPE,X -> Y,0.11585690875114917
93,0,23,GC,Independence,0.002021549941922429
94,0,23,TE,X -> Y,0.2798045402622999
95,0,23,LZP,X -> Y,31.0
96,0,24,DPE,X -> Y,0.10686495153816766
97,0,24,GC,Independence,0.014084839251038442
98,0,24,TE,X -> Y,0.2857393114101268
99,0,24,LZP,Independence,27.0
100,0,25,DPE,X -> Y,0.1268939168681626
101,0,25,GC,Independence,0.010327195651918752
102,0,25,TE,X -> Y,0.2829758364405615
103,0,25,LZP,Independence,26.0
104,0,26,DPE,X -> Y,0.1142553568379732
105,0,26,GC,Independence,0.003310169153601884
106,0,26,TE,X -> Y,0.3211749118076328
107,0,26,LZP,Independence,24.0
108,0,27,DPE,X -> Y,0.11066700745640057
109,0,27,GC,Independence,8.881735149616023e-06
110,0,27,TE,X -> Y,0.29898885518973606
111,0,27,LZP,X -> Y,29.0
112,0,28,DPE,X -> Y,0.11661730848983759
113,0,28,GC,Independence,1.6001613808982353e-06
114,0,28,TE,X -> Y,0.29344505661431614
115,0,28,LZP,Independence,18.0
116,0,29,DPE,X -> Y,0.10291718534364175
117,0,29,GC,Independence,3.2588131899002585e-05
118,0,29,TE,X -> Y,0.2998897202020098
119,0,29,LZP,Independence,22.0
120,0,30,DPE,X -> Y,0.14350511714846134
121,0,30,GC,Independence,0.0030582448862883863
122,0,30,TE,X -> Y,0.31230105387273177
123,0,30,LZP,Independence,23.0
124,0,31,DPE,X -> Y,0.1284449340023387
125,0,31,GC,Independence,7.353427769950697e-07
126,0,31,TE,X -> Y,0.3275722699227523
127,0,31,LZP,Independence,21.0
128,0,32,DPE,X -> Y,0.10069667343263906
129,0,32,GC,Independence,0.00027054094090814897
130,0,32,TE,X -> Y,0.3337212807828411
131,0,32,LZP,X -> Y,25.0
132,0,33,DPE,X -> Y,0.11291267148529488
133,0,33,GC,Independence,0.0007776105847729878
134,0,33,TE,X -> Y,0.3008070329586475
135,0,33,LZP,X -> Y,29.0
136,0,34,DPE,X -> Y,0.12539616529214775
137,0,34,GC,Independence,0.0005309783066142381
138,0,34,TE,X -> Y,0.3061324574890163
139,0,34,LZP,Independence,23.0
140,0,35,DPE,X -> Y,0.12020832753024888
141,0,35,GC,Independence,0.015267186933019164
142,0,35,TE,X -> Y,0.29886248165573653
143,0,35,LZP,Independence,28.0
144,0,36,DPE,X -> Y,0.12569154683733358
145,0,36,GC,Independence,0.000505138865948271
146,0,36,TE,X -> Y,0.31572518994767146
147,0,36,LZP,Independence,26.0
148,0,37,DPE,X -> Y,0.12759028418610494
149,0,37,GC,Independence,2.0163290979432982e-05
150,0,37,TE,X -> Y,0.3065083662194366
151,0,37,LZP,Independence,20.0
