,eta,model,total_trials,xy_count,yx_count,independent_count
0,0.0,DPE,2000,0,2000,0
1,0.1,DPE,2000,0,73,1927
2,0.2,DPE,2000,0,1462,538
3,0.3,DPE,2000,0,1999,1
4,0.4,DPE,2000,0,1997,3
5,0.5,DPE,2000,0,2000,0
6,0.6,DPE,2000,0,2000,0
7,0.7,DPE,2000,0,2000,0
8,0.8,DPE,2000,0,2000,0
9,0.9,DPE,2000,0,1999,1
10,0.0,GC,2000,103,99,1798
11,0.1,GC,2000,0,1865,135
12,0.2,GC,2000,0,1094,906
13,0.3,GC,2000,0,41,1959
14,0.4,GC,2000,0,2,1998
15,0.5,GC,2000,0,0,2000
16,0.6,GC,2000,0,0,2000
17,0.7,GC,2000,0,0,2000
18,0.8,GC,2000,0,0,2000
19,0.9,GC,2000,0,0,2000
20,0.0,TE,2000,94,44,1862
21,0.1,TE,2000,0,1991,9
22,0.2,TE,2000,0,2000,0
23,0.3,TE,2000,0,2000,0
24,0.4,TE,2000,327,1350,323
25,0.5,TE,2000,1996,0,4
26,0.6,TE,2000,2000,0,0
27,0.7,TE,2000,2000,0,0
28,0.8,TE,2000,326,1134,540
29,0.9,TE,2000,0,2000,0
30,0.0,LZP,2000,0,2000,0
31,0.1,LZP,2000,0,102,1898
32,0.2,LZP,2000,0,1,1999
33,0.3,LZP,2000,0,12,1988
34,0.4,LZP,2000,0,1,1999
35,0.5,LZP,2000,0,3,1997
36,0.6,LZP,2000,0,28,1972
37,0.7,LZP,2000,0,11,1989
38,0.8,LZP,2000,1350,0,650
39,0.9,LZP,2000,881,46,1073
